Date,Cases
01-04-2020,234
02-04-2020,309
03-04-2020,411
04-04-2020,485
05-04-2020,571
06-04-2020,621
07-04-2020,690
08-04-2020,738
09-04-2020,834
10-04-2020,911
11-04-2020,969
12-04-2020,1075
13-04-2020,1173
14-04-2020,1204
15-04-2020,1242
16-04-2020,1267
17-04-2020,1323
18-04-2020,1372
19-04-2020,1477
20-04-2020,1520
21-04-2020,1596
22-04-2020,1629
23-04-2020,1683
24-04-2020,1755
25-04-2020,1821
26-04-2020,1885
27-04-2020,1937
28-04-2020,2058
29-04-2020,2162
30-04-2020,2323
01-05-2020,2526
02-05-2020,2757
03-05-2020,3023
04-05-2020,3550
05-05-2020,4058
06-05-2020,4829
07-05-2020,5409
08-05-2020,6009
09-05-2020,6535
10-05-2020,7204
11-05-2020,8002
12-05-2020,8718
13-05-2020,9227
14-05-2020,9674
15-05-2020,10108
